img,time,lat,lon,dir,blart_txt,other_txt,bold,eyes,nose,simpson,spray,main_col,black,pink,blue,yellow,red,green,white,base,base_mat,private_prop,new_img_req,unsure,notes
IMG_6868.jpg,2026:02:28 17:47:21,62.596333,29.769803,152.76,True,,False,True,True,False,True,pink,False,True,False,False,False,False,False,sisäseinä,betoni,False,False,False,
IMG_6840.jpg,2026:02:28 17:06:34,62.588383,29.784228,74.02,True,,False,False,False,False,True,black,True,False,False,False,False,False,False,jakokaappi,metalli,False,False,False,
IMG_6854.jpg,2026:02:28 17:23:20,62.58775,29.771256,53.34,True,,False,False,False,False,True,pink,False,True,False,False,False,False,False,jakokaappi,metalli,False,False,False,
IMG_7357.jpg,2026:04:01 17:11:50,62.621892,29.865781,182.17,True,,False,False,False,False,True,red,False,False,False,False,True,False,False,jakokaappi,metalli,False,False,False,
IMG_5232.jpg,2026:03:02 17:51:40,62.597769,29.742289,23.55,True,,False,False,False,False,True,pink,False,True,False,False,False,False,False,jakokaappi,metalli,False,False,False,Tähti
IMG_7169.jpg,2026:03:20 16:55:04,62.591156,29.773717,100.51,True,,False,False,False,False,True,black,True,False,False,False,False,False,False,jakokaappi,metalli,False,False,False,
IMG_7168.jpg,2026:03:20 16:54:52,62.591206,29.773761,136.05,True,,False,True,True,False,True,black,True,False,False,False,False,False,False,jakokaappi,,False,False,False,
IMG_5233.jpg,2026:03:02 17:53:14,62.5971,29.743828,99.57,True,,False,False,False,False,True,black,True,False,False,False,False,False,False,jakokaappi,metalli,False,False,False,
IMG_5421.jpg,2026:03:25 17:38:47,62.602897,29.794742,86.08,True,24,False,False,False,False,True,black,True,False,False,False,False,False,False,alikulku,betoni,False,False,False,
IMG_6855.jpg,2026:02:28 17:24:15,62.588375,29.770967,43.09,True,,False,False,False,False,True,pink,False,True,False,False,False,False,False,tasoristeys,metalli,False,False,False,
IMG_6869.jpg,2026:02:28 17:48:06,62.596206,29.770322,194.31,True,,False,True,True,False,True,black,True,False,False,False,False,False,False,sisäseinä,betoni,False,False,False,
IMG_0001.jpg,2026:03:19 14:15:36,62.596419,29.770158,312.77,True,,False,False,False,False,False,blue,False,False,True,False,False,False,False,lataustolppa,muovi,True,False,False,kirjoitettu krijain kerrallaan eri tolppiin
IMG_6894.jpg,2026:03:01 16:27:22,62.613747,29.777267,221.81,True,,False,False,False,False,True,pink,False,True,False,False,False,False,False,jakokaappi,metalli,False,True,False,
IMG_5423.jpg,2026:03:25 17:39:20,62.602647,29.794619,260.14,True,TM,False,False,False,False,True,black,True,False,False,False,False,False,False,alikulku,betoni,False,False,False,
IMG_5422.jpg,2026:03:25 17:38:53,62.602878,29.7947,258.87,False,B.,False,True,True,False,True,black,True,False,False,False,False,False,False,alikulku,betoni,False,False,False,
IMG_6842.jpg,2026:02:28 17:07:30,62.587978,29.784142,264.04,True,Voimalla kohti hiilineutraalia Joensuuta,False,False,False,False,True,black,True,False,False,False,False,False,False,mainos/aita,muovi,True,False,False,Savon Voiman laitos
IMG_5393.jpg,2026:03:18 17:18:57,62.596172,29.769417,190.76,True,,False,False,False,False,True,pink,False,True,False,False,False,False,False,pilari,betoni,False,False,False,
IMG_6856.jpg,2026:02:28 17:26:20,62.589936,29.770039,335.34,True,,False,False,False,False,True,pink,False,True,False,False,False,False,False,jakokaappi,metalli,False,False,False,
IMG_7231.jpg,2026:03:26 16:17:35,62.587022,29.773219,144.94,True,TÄÄ PAIKKA ON PILALLA,False,False,False,False,True,black,True,False,False,False,False,False,False,alikulku,betoni,False,False,False,
IMG_5354.jpg,2026:03:12 18:06:23,62.596039,29.742775,95.68,True,,False,True,False,False,True,pink,False,True,False,False,False,False,False,jakokaappi,metalli,False,False,False,
IMG_7225.jpg,2026:03:26 15:54:00,62.587636,29.777033,64.21,True,,True,False,False,False,True,black,True,False,False,False,False,False,False,muuntamo,tiili,False,False,False,
IMG_5368.jpg,2026:03:14 14:18:52,62.593692,29.749728,289.03,True,,False,False,False,False,True,pink,False,True,False,False,False,False,False,jakokaappi,metalli,False,False,False,
